NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DEGS1	29	2.589975357055664	0.23610523	Yes	
row_1	PNPLA1	70	1.938461422920227	0.40783402	Yes	
row_2	PAM	208	1.168621301651001	0.48061183	Yes	
row_3	SGMS1	268	1.0005265474319458	0.5588009	Yes	
row_4	B3GALT4	332	0.8603464365005493	0.62269366	Yes	
row_5	ELOVL5	476	0.6413142085075378	0.6441588	Yes	
row_6	GCLM	669	0.4414796233177185	0.6334493	Yes	
row_7	CERS2	828	0.31140536069869995	0.6197472	Yes	
row_8	B4GALT3	855	0.29000917077064514	0.6399868	Yes	
row_9	ACSL5	858	0.28917497396469116	0.6666855	Yes	
row_10	PANK3	894	0.2659412622451782	0.68220603	Yes	
row_11	VAPA	1038	0.17467105388641357	0.6597081	No	
row_12	PANK4	1051	0.1633143424987793	0.67182523	No	
row_13	SPTSSA	1233	0.07166953384876251	0.629272	No	
row_14	SAMD8	1257	0.061690960079431534	0.62881863	No	
row_15	ST8SIA4	1356	0.02351127751171589	0.60433793	No	
row_16	CERS5	1484	-0.02247212640941143	0.5718596	No	
row_17	DLD	1563	-0.047572605311870575	0.5550938	No	
row_18	ACLY	2014	-0.25227728486061096	0.45627883	No	
