NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HK3	4	3.741610527038574	0.110871315	Yes	
row_1	CD44	14	3.0993425846099854	0.20115554	Yes	
row_2	PKM	18	2.845440149307251	0.28548303	Yes	
row_3	ENPP4	27	2.610520124435425	0.36141306	Yes	
row_4	HK2	40	2.3679256439208984	0.42898953	Yes	
row_5	GALC	90	1.7476928234100342	0.46788555	Yes	
row_6	CDA	114	1.6138092279434204	0.5098868	Yes	
row_7	GNS	130	1.5007274150848389	0.55069226	Yes	
row_8	APOBEC3C	176	1.2962994575500488	0.5771747	Yes	
row_9	HK1	357	0.8152060508728027	0.55233514	Yes	
row_10	PGAM1	376	0.787925124168396	0.5709899	Yes	
row_11	GM2A	413	0.7300388813018799	0.58298904	Yes	
row_12	SGSH	611	0.49654582142829895	0.54396385	No	
row_13	NT5C	710	0.4047381281852722	0.5292701	No	
row_14	APOBEC3G	788	0.339751660823822	0.5183757	No	
row_15	NEU1	845	0.29834768176078796	0.5119863	No	
row_16	NUDT4	1098	0.132699117064476	0.44702944	No	
row_17	NUDT15	1141	0.11611457169055939	0.43901613	No	
row_18	NAGA	1184	0.09874577820301056	0.4304831	No	
row_19	HPRT1	1454	-0.01180659793317318	0.3572587	No	
row_20	ENTPD7	1473	-0.017863541841506958	0.35286987	No	
row_21	HEXB	1505	-0.02737944945693016	0.34520996	No	
row_22	FOXK2	1718	-0.11677722632884979	0.29071757	No	
row_23	NUDT3	1777	-0.1496841460466385	0.27933246	No	
row_24	CDADC1	2027	-0.2599440813064575	0.21900389	No	
row_25	NUDT1	2096	-0.29445263743400574	0.20921564	No	
row_26	TDG	2099	-0.2953932583332062	0.21750806	No	
row_27	FUCA2	2463	-0.5076014995574951	0.13340889	No	
row_28	HINT1	2513	-0.5342254042625427	0.13599263	No	
row_29	PFKM	2560	-0.5613309741020203	0.14020807	No	
row_30	ALDOC	2661	-0.6395914554595947	0.13199514	No	
row_31	GNPDA1	2815	-0.7501325011253357	0.11259339	No	
row_32	SMUG1	3419	-1.5295157432556152	-0.0065711425	No	
row_33	DUT	3661	-2.6783833503723145	0.007658807	No	
