NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HK3	4	3.741610527038574	0.080504216	Yes	
row_1	B3GNT2	5	3.5996665954589844	0.15901159	Yes	
row_2	G6PD	8	3.300814390182495	0.23045166	Yes	
row_3	PGD	9	3.281245231628418	0.30201438	Yes	
row_4	CD44	14	3.0993425846099854	0.36851096	Yes	
row_5	ARSB	20	2.828608751296997	0.42882824	Yes	
row_6	HK2	40	2.3679256439208984	0.47525203	Yes	
row_7	CSGALNACT2	65	1.9809335470199585	0.51186204	Yes	
row_8	GNS	130	1.5007274150848389	0.5270099	Yes	
row_9	NDST1	132	1.4740455150604248	0.55888355	Yes	
row_10	B3GALT4	332	0.8603464365005493	0.52297705	Yes	
row_11	HK1	357	0.8152060508728027	0.534163	Yes	
row_12	PGAM1	376	0.787925124168396	0.5464023	Yes	
row_13	PFKFB3	387	0.7671715021133423	0.5603868	Yes	
row_14	GALK1	502	0.6107977032661438	0.54238933	No	
row_15	PAPSS2	607	0.5004240870475769	0.524732	No	
row_16	SGSH	611	0.49654582142829895	0.5347373	No	
row_17	HS2ST1	792	0.33704647421836853	0.4926376	No	
row_18	CHPF2	842	0.30218505859375	0.4857666	No	
row_19	B4GALT3	855	0.29000917077064514	0.4887949	No	
row_20	NUP43	871	0.2795698046684265	0.49077132	No	
row_21	NUP88	939	0.23450632393360138	0.47747922	No	
row_22	VCAN	994	0.20066702365875244	0.4670205	No	
row_23	RPIA	1058	0.15888658165931702	0.45317808	No	
row_24	CHSY1	1095	0.1347762793302536	0.4462274	No	
row_25	CHST15	1453	-0.010854764841496944	0.3483872	No	
row_26	AGL	1461	-0.012995842844247818	0.34674758	No	
row_27	HEXB	1505	-0.02737944945693016	0.3355315	No	
row_28	DSE	1576	-0.05289306119084358	0.3174543	No	
row_29	CALM1	1580	-0.05386963486671448	0.31780502	No	
row_30	AKR1B1	1621	-0.07124444842338562	0.30836982	No	
row_31	NUP85	1782	-0.1527157574892044	0.26774445	No	
row_32	PPP2CA	1878	-0.18962392210960388	0.24578118	No	
row_33	UGP2	1881	-0.19139105081558228	0.24940589	No	
row_34	RBKS	2102	-0.2979223430156708	0.19546391	No	
row_35	CHST11	2326	-0.42245423793792725	0.14341374	No	
row_36	NUP153	2362	-0.44480258226394653	0.14349933	No	
row_37	NUP155	2546	-0.5508701801300049	0.10523887	No	
row_38	PFKM	2560	-0.5613309741020203	0.113909855	No	
row_39	RANBP2	2571	-0.5668091773986816	0.1235245	No	
row_40	NUP160	2624	-0.606282651424408	0.12246158	No	
row_41	ALDOC	2661	-0.6395914554595947	0.12652072	No	
row_42	NUP35	2670	-0.6450452208518982	0.1383911	No	
row_43	UBC	2675	-0.649868905544281	0.15146561	No	
row_44	GNPDA1	2815	-0.7501325011253357	0.1296389	No	
row_45	SLC35B3	2816	-0.7509057521820068	0.14601587	No	
row_46	CRYL1	3015	-0.9387134313583374	0.112093255	No	
row_47	FUT11	3060	-0.9919734001159668	0.12163991	No	
row_48	SLC26A2	3188	-1.1476960182189941	0.11178061	No	
row_49	TPR	3209	-1.1729556322097778	0.13186783	No	
