NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ADAM19	12	3.1974589824676514	0.22441466	Yes	
row_1	ITGB1	66	1.971917748451233	0.3503962	Yes	
row_2	ARHGEF6	122	1.5687706470489502	0.447126	Yes	
row_3	FLNA	201	1.1912585496902466	0.51071054	Yes	
row_4	LIMS1	213	1.1470688581466675	0.5893947	Yes	
row_5	ACTN1	351	0.829308032989502	0.61113816	Yes	
row_6	ITGB4	481	0.6340124011039734	0.6211538	Yes	
row_7	CTNNA1	500	0.6128841042518616	0.6598937	Yes	
row_8	PARVB	545	0.5583175420761108	0.6876674	Yes	
row_9	SP1	645	0.4668841063976288	0.69395226	Yes	
row_10	F11R	1028	0.17968028783798218	0.6027163	No	
row_11	RSU1	1142	0.11561480164527893	0.5801755	No	
row_12	TNRC6B	1431	2.706600062083453E-4	0.5017634	No	
row_13	CLDN15	1544	-0.03963394835591316	0.47408456	No	
row_14	CLDN10	1629	-0.07589980214834213	0.45661336	No	
row_15	MOV10	1920	-0.20731790363788605	0.3923999	No	
row_16	ZEB2	2209	-0.3565572500228882	0.33935803	No	
row_17	CDH2	2970	-0.8906343579292297	0.19580609	No	
