NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ADAM19	12	3.1974589824676514	0.15118149	Yes	
row_1	CD2AP	24	2.773789644241333	0.28217015	Yes	
row_2	WASL	49	2.1929478645324707	0.38155377	Yes	
row_3	ITGB1	66	1.971917748451233	0.47244313	Yes	
row_4	ARHGEF6	122	1.5687706470489502	0.533217	Yes	
row_5	FLNA	201	1.1912585496902466	0.5694792	Yes	
row_6	LIMS1	213	1.1470688581466675	0.6218879	Yes	
row_7	ACTN1	351	0.829308032989502	0.6245676	Yes	
row_8	ITGB4	481	0.6340124011039734	0.6199963	Yes	
row_9	CTNNA1	500	0.6128841042518616	0.6446908	Yes	
row_10	PARVB	545	0.5583175420761108	0.65965533	Yes	
row_11	SP1	645	0.4668841063976288	0.65519625	No	
row_12	F11R	1028	0.17968028783798218	0.5596466	No	
row_13	RSU1	1142	0.11561480164527893	0.5343993	No	
row_14	TNRC6B	1431	2.706600062083453E-4	0.4558312	No	
row_15	PIK3R1	1534	-0.03555705025792122	0.429718	No	
row_16	CLDN15	1544	-0.03963394835591316	0.42917687	No	
row_17	CLDN10	1629	-0.07589980214834213	0.40992376	No	
row_18	TYROBP	1671	-0.092478446662426	0.40320408	No	
row_19	SKAP2	1835	-0.17139559984207153	0.36700872	No	
row_20	MOV10	1920	-0.20731790363788605	0.35410386	No	
row_21	ZEB2	2209	-0.3565572500228882	0.29274645	No	
row_22	FYN	2731	-0.6930872797966003	0.18407105	No	
row_23	PTPN11	2738	-0.6987155675888062	0.21618594	No	
row_24	CDH2	2970	-0.8906343579292297	0.19618006	No	
