NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ETF1	1602	-0.0655992180109024	-0.43442464	No	
row_1	RPL17	2352	-0.43622708320617676	-0.6216849	No	
row_2	RPS4X	2548	-0.5527383089065552	-0.65327305	No	
row_3	RPL10A	2672	-0.6467546224594116	-0.66154665	Yes	
row_4	RPL26L1	2684	-0.6563810110092163	-0.638893	Yes	
row_5	RPL39	2708	-0.6741377711296082	-0.6188187	Yes	
row_6	RPS23	2713	-0.6790748834609985	-0.59336865	Yes	
row_7	RPS26	2855	-0.7785661816596985	-0.6014005	Yes	
row_8	RPS29	2870	-0.7912614941596985	-0.5742935	Yes	
row_9	RPL21	2906	-0.8238174915313721	-0.55164236	Yes	
row_10	RPS18	2985	-0.9080889225006104	-0.53742695	Yes	
row_11	RPS8	3047	-0.9778158068656921	-0.5158491	Yes	
row_12	RPL41	3065	-0.9980775713920593	-0.48147717	Yes	
row_13	RPL37	3118	-1.0696427822113037	-0.45385537	Yes	
row_14	RPL23	3176	-1.1274882555007935	-0.42533657	Yes	
row_15	RPL23A	3182	-1.1372077465057373	-0.38225353	Yes	
row_16	RPS10	3231	-1.2193087339401245	-0.347691	Yes	
row_17	RPL11	3384	-1.4403403997421265	-0.3328584	Yes	
row_18	RPL3	3451	-1.5993964672088623	-0.28835043	Yes	
row_19	RPS24	3491	-1.7079988718032837	-0.23223284	Yes	
row_20	RPL36AL	3497	-1.7280433177947998	-0.1660574	Yes	
row_21	RPL27	3514	-1.7737964391708374	-0.10109427	Yes	
row_22	RPS7	3523	-1.8074089288711548	-0.03263521	Yes	
row_23	RPS14	3571	-1.986561894416809	0.032187615	Yes	
