NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL17	2352	-0.43622708320617676	-0.6281364	No	
row_1	RPS4X	2548	-0.5527383089065552	-0.66347504	No	
row_2	EIF3D	2644	-0.6285048723220825	-0.669051	Yes	
row_3	RPL10A	2672	-0.6467546224594116	-0.6554665	Yes	
row_4	RPL26L1	2684	-0.6563810110092163	-0.6372009	Yes	
row_5	RPL39	2708	-0.6741377711296082	-0.6216368	Yes	
row_6	RPS23	2713	-0.6790748834609985	-0.6007243	Yes	
row_7	RPS26	2855	-0.7785661816596985	-0.61399907	Yes	
row_8	RPS29	2870	-0.7912614941596985	-0.59218204	Yes	
row_9	RPL21	2906	-0.8238174915313721	-0.5750446	Yes	
row_10	RPS18	2985	-0.9080889225006104	-0.5669186	Yes	
row_11	EIF3B	3035	-0.9649914503097534	-0.5490296	Yes	
row_12	RPS8	3047	-0.9778158068656921	-0.5203482	Yes	
row_13	RPL41	3065	-0.9980775713920593	-0.49264863	Yes	
row_14	RPL37	3118	-1.0696427822113037	-0.47218773	Yes	
row_15	RPL23	3176	-1.1274882555007935	-0.45121774	Yes	
row_16	RPL23A	3182	-1.1372077465057373	-0.41573292	Yes	
row_17	EIF1AX	3187	-1.1476094722747803	-0.379638	Yes	
row_18	RPS10	3231	-1.2193087339401245	-0.35186958	Yes	
row_19	EIF3A	3278	-1.2735446691513062	-0.32316297	Yes	
row_20	EIF3J	3309	-1.325506329536438	-0.2884034	Yes	
row_21	RPL11	3384	-1.4403403997421265	-0.26193798	Yes	
row_22	RPL3	3451	-1.5993964672088623	-0.22813392	Yes	
row_23	RPS24	3491	-1.7079988718032837	-0.18343768	Yes	
row_24	RPL36AL	3497	-1.7280433177947998	-0.12880737	Yes	
row_25	RPL27	3514	-1.7737964391708374	-0.075698294	Yes	
row_26	RPS7	3523	-1.8074089288711548	-0.019315433	Yes	
row_27	RPS14	3571	-1.986561894416809	0.0322228	Yes	
