NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	B3GNT2	5	3.5996665954589844	0.18653984	Yes	
row_1	CD44	14	3.0993425846099854	0.34614566	Yes	
row_2	ARSB	20	2.828608751296997	0.49243644	Yes	
row_3	CSGALNACT2	65	1.9809335470199585	0.583855	Yes	
row_4	GNS	130	1.5007274150848389	0.6447587	Yes	
row_5	NDST1	132	1.4740455150604248	0.72143114	Yes	
row_6	PAPSS2	607	0.5004240870475769	0.61843306	No	
row_7	SGSH	611	0.49654582142829895	0.64353544	No	
row_8	HS2ST1	792	0.33704647421836853	0.61209625	No	
row_9	CHPF2	842	0.30218505859375	0.6145224	No	
row_10	B4GALT3	855	0.29000917077064514	0.62639195	No	
row_11	VCAN	994	0.20066702365875244	0.59927475	No	
row_12	CHSY1	1095	0.1347762793302536	0.57906955	No	
row_13	CHST15	1453	-0.010854764841496944	0.48238745	No	
row_14	HEXB	1505	-0.02737944945693016	0.46992397	No	
row_15	DSE	1576	-0.05289306119084358	0.45361662	No	
row_16	CHST11	2326	-0.42245423793792725	0.27163702	No	
row_17	SLC35B3	2816	-0.7509057521820068	0.17762795	No	
row_18	SLC26A2	3188	-1.1476960182189941	0.13647507	No	
