NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EIF4H	194	1.2151143550872803	-0.0166737	No	
row_1	RPL17	2352	-0.43622708320617676	-0.59297484	No	
row_2	RPS4X	2548	-0.5527383089065552	-0.6297267	No	
row_3	EIF3D	2644	-0.6285048723220825	-0.6368908	Yes	
row_4	RPL10A	2672	-0.6467546224594116	-0.62492996	Yes	
row_5	RPL26L1	2684	-0.6563810110092163	-0.60830975	Yes	
row_6	RPL39	2708	-0.6741377711296082	-0.59443724	Yes	
row_7	RPS23	2713	-0.6790748834609985	-0.5752259	Yes	
row_8	RPS26	2855	-0.7785661816596985	-0.59047145	Yes	
row_9	RPS29	2870	-0.7912614941596985	-0.570638	Yes	
row_10	RPL21	2906	-0.8238174915313721	-0.55556875	Yes	
row_11	RPS18	2985	-0.9080889225006104	-0.5497285	Yes	
row_12	EIF3B	3035	-0.9649914503097534	-0.5342634	Yes	
row_13	RPS8	3047	-0.9778158068656921	-0.50803226	Yes	
row_14	RPL41	3065	-0.9980775713920593	-0.48283467	Yes	
row_15	RPL37	3118	-1.0696427822113037	-0.46506014	Yes	
row_16	RPL23	3176	-1.1274882555007935	-0.44692215	Yes	
row_17	RPL23A	3182	-1.1372077465057373	-0.4142859	Yes	
row_18	EIF1AX	3187	-1.1476094722747803	-0.38106543	Yes	
row_19	RPS10	3231	-1.2193087339401245	-0.3563569	Yes	
row_20	EIF3A	3278	-1.2735446691513062	-0.33084637	Yes	
row_21	EIF3J	3309	-1.325506329536438	-0.2994106	Yes	
row_22	EIF5B	3335	-1.3695499897003174	-0.26529184	Yes	
row_23	RPL11	3384	-1.4403403997421265	-0.23534061	Yes	
row_24	RPL3	3451	-1.5993964672088623	-0.20555164	Yes	
row_25	RPS24	3491	-1.7079988718032837	-0.16513842	Yes	
row_26	RPL36AL	3497	-1.7280433177947998	-0.114836276	Yes	
row_27	RPL27	3514	-1.7737964391708374	-0.06617157	Yes	
row_28	RPS7	3523	-1.8074089288711548	-0.014316068	Yes	
row_29	RPS14	3571	-1.986561894416809	0.032240354	Yes	
