NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LGALS3BP	11	3.236057996749878	0.047931302	Yes	
row_1	CD44	14	3.0993425846099854	0.096209854	Yes	
row_2	PPP2R5B	43	2.268004894256592	0.1241633	Yes	
row_3	ITGB1	66	1.971917748451233	0.14911906	Yes	
row_4	SCCPDH	71	1.9226053953170776	0.17830063	Yes	
row_5	KIF1B	73	1.9145268201828003	0.20818873	Yes	
row_6	HGF	76	1.8786050081253052	0.23723286	Yes	
row_7	SLC16A3	81	1.8305273056030273	0.26496363	Yes	
row_8	F12	83	1.8204222917556763	0.29336897	Yes	
row_9	RAC2	93	1.7087018489837646	0.3177905	Yes	
row_10	FGR	142	1.445177435874939	0.32722053	Yes	
row_11	SHC1	159	1.3774802684783936	0.3444777	Yes	
row_12	PLAU	181	1.2527235746383667	0.35837954	Yes	
row_13	GNG2	197	1.2109854221343994	0.3732913	Yes	
row_14	FLNA	201	1.1912585496902466	0.39122742	Yes	
row_15	MAFG	217	1.1407935619354248	0.40503323	Yes	
row_16	FCER1G	274	0.9905879497528076	0.4050771	Yes	
row_17	PRKAR1A	277	0.9803076982498169	0.41996732	Yes	
row_18	PSAP	292	0.9497646689414978	0.43104112	Yes	
row_19	PIK3CG	298	0.9361062049865723	0.44440112	Yes	
row_20	GP1BA	313	0.8912011384963989	0.45455217	Yes	
row_21	ITGA1	326	0.8749054074287415	0.46500233	Yes	
row_22	NFE2	347	0.8391714096069336	0.472666	Yes	
row_23	ACTN1	351	0.829308032989502	0.48489907	Yes	
row_24	RAD51B	358	0.8114816546440125	0.4960175	Yes	
row_25	SERPINB8	370	0.7939061522483826	0.5054693	Yes	
row_26	IRF1	371	0.7931413650512695	0.5179664	Yes	
row_27	SRI	384	0.7754872441291809	0.52685004	Yes	
row_28	TAGLN2	419	0.7250945568084717	0.5288252	Yes	
row_29	SPARC	520	0.5850454568862915	0.5102502	No	
row_30	NHLRC2	537	0.5698875188827515	0.51478267	No	
row_31	F13A1	578	0.5261513590812683	0.5119556	No	
