NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EIF4H	194	1.2151143550872803	-0.015107933	No	
row_1	RPL17	2352	-0.43622708320617676	-0.59069115	No	
row_2	RPS4X	2548	-0.5527383089065552	-0.6267228	No	
row_3	EIF3D	2644	-0.6285048723220825	-0.6330774	Yes	
row_4	RPL10A	2672	-0.6467546224594116	-0.62028885	Yes	
row_5	RPL26L1	2684	-0.6563810110092163	-0.6028298	Yes	
row_6	RPL39	2708	-0.6741377711296082	-0.588095	Yes	
row_7	RPS23	2713	-0.6790748834609985	-0.5680164	Yes	
row_8	RPS26	2855	-0.7785661816596985	-0.58225745	Yes	
row_9	RPS29	2870	-0.7912614941596985	-0.56141275	Yes	
row_10	RPL21	2906	-0.8238174915313721	-0.5452892	Yes	
row_11	RPS18	2985	-0.9080889225006104	-0.5382838	Yes	
row_12	EIF3B	3035	-0.9649914503097534	-0.5215831	Yes	
row_13	RPS8	3047	-0.9778158068656921	-0.49410278	Yes	
row_14	RPL41	3065	-0.9980775713920593	-0.46762973	Yes	
row_15	RPL37	3118	-1.0696427822113037	-0.44848576	Yes	
row_16	RPL23	3176	-1.1274882555007935	-0.4289041	Yes	
row_17	RPL23A	3182	-1.1372077465057373	-0.39481565	Yes	
row_18	EIF1AX	3187	-1.1476094722747803	-0.36012977	Yes	
row_19	RPS10	3231	-1.2193087339401245	-0.33386138	Yes	
row_20	EIF3A	3278	-1.2735446691513062	-0.30672154	Yes	
row_21	EIF3J	3309	-1.325506329536438	-0.27359134	Yes	
row_22	RPL11	3384	-1.4403403997421265	-0.24889956	Yes	
row_23	RPL3	3451	-1.5993964672088623	-0.2170638	Yes	
row_24	RPS24	3491	-1.7079988718032837	-0.17446713	Yes	
row_25	RPL36AL	3497	-1.7280433177947998	-0.12195849	Yes	
row_26	RPL27	3514	-1.7737964391708374	-0.07102806	Yes	
row_27	RPS7	3523	-1.8074089288711548	-0.016864514	Yes	
row_28	RPS14	3571	-1.986561894416809	0.032231573	Yes	
