NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CSNK1E	464	0.6585826277732849	-0.11294708	No	
row_1	RIOK3	522	0.5841410756111145	-0.115776315	No	
row_2	UTP14C	1005	0.19103936851024628	-0.243928	No	
row_3	NOL12	1224	0.07900335639715195	-0.30205116	No	
row_4	FTSJ3	1332	0.033904533833265305	-0.33068642	No	
row_5	CSNK1D	1383	0.013837253674864769	-0.34411144	No	
row_6	WDR46	1559	-0.046392034739255905	-0.39114368	No	
row_7	DIS3	1700	-0.10692449659109116	-0.42723718	No	
row_8	EMG1	1761	-0.14010940492153168	-0.44063634	No	
row_9	RRP7A	1824	-0.16655634343624115	-0.45400414	No	
row_10	WDR3	1925	-0.2080560326576233	-0.4768949	No	
row_11	DDX21	2263	-0.38580137491226196	-0.5609584	No	
row_12	RIOK2	2328	-0.42280280590057373	-0.56925094	No	
row_13	RPL17	2352	-0.43622708320617676	-0.5659912	No	
row_14	NOL11	2502	-0.528017520904541	-0.5953132	No	
row_15	RPS4X	2548	-0.5527383089065552	-0.5955368	Yes	
row_16	ISG20L2	2566	-0.564748227596283	-0.5878087	Yes	
row_17	RBM28	2579	-0.5710499286651611	-0.5785695	Yes	
row_18	RPL10A	2672	-0.6467546224594116	-0.5896345	Yes	
row_19	RPL26L1	2684	-0.6563810110092163	-0.57824767	Yes	
row_20	EXOSC1	2689	-0.6594047546386719	-0.56487244	Yes	
row_21	RPL39	2708	-0.6741377711296082	-0.55501795	Yes	
row_22	RPP30	2712	-0.6787775754928589	-0.54094297	Yes	
row_23	RPS23	2713	-0.6790748834609985	-0.5260377	Yes	
row_24	RPS26	2855	-0.7785661816596985	-0.5476637	Yes	
row_25	RPS29	2870	-0.7912614941596985	-0.53414005	Yes	
row_26	RPL21	2906	-0.8238174915313721	-0.5256679	Yes	
row_27	RPS18	2985	-0.9080889225006104	-0.5271528	Yes	
row_28	EXOSC8	3033	-0.9633143544197083	-0.5189137	Yes	
row_29	RPS8	3047	-0.9778158068656921	-0.5010207	Yes	
row_30	RPL41	3065	-0.9980775713920593	-0.48378137	Yes	
row_31	RPL37	3118	-1.0696427822113037	-0.4745813	Yes	
row_32	RIOK1	3142	-1.0930505990982056	-0.45690477	Yes	
row_33	RPL23	3176	-1.1274882555007935	-0.4412181	Yes	
row_34	RPL23A	3182	-1.1372077465057373	-0.41763005	Yes	
row_35	RPS10	3231	-1.2193087339401245	-0.4040466	Yes	
row_36	RRP36	3340	-1.375316858291626	-0.40351334	Yes	
row_37	RPL11	3384	-1.4403403997421265	-0.38370556	Yes	
row_38	RPP38	3450	-1.5924981832504272	-0.3665986	Yes	
row_39	RPL3	3451	-1.5993964672088623	-0.33149293	Yes	
row_40	RPS24	3491	-1.7079988718032837	-0.3047119	Yes	
row_41	RPL36AL	3497	-1.7280433177947998	-0.2681554	Yes	
row_42	RPL27	3514	-1.7737964391708374	-0.23361492	Yes	
row_43	DDX52	3519	-1.790015697479248	-0.19542357	Yes	
row_44	RPS7	3523	-1.8074089288711548	-0.15657589	Yes	
row_45	RPS14	3571	-1.986561894416809	-0.12587717	Yes	
row_46	RPP21	3685	-3.457024335861206	-0.081024714	Yes	
row_47	UTP6	3687	-3.7289724349975586	5.491616E-4	Yes	
