NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HK3	4	3.741610527038574	0.23045343	Yes	
row_1	SFXN1	7	3.3674697875976562	0.43829817	Yes	
row_2	HK2	40	2.3679256439208984	0.5761249	Yes	
row_3	ARG1	61	2.001471996307373	0.69453967	Yes	
row_4	PGAM1	376	0.787925124168396	0.65785664	No	
row_5	SUOX	952	0.2251402735710144	0.5153264	No	
row_6	MOCS2	1085	0.14081403613090515	0.488122	No	
row_7	GLUD1	1487	-0.022904420271515846	0.38042372	No	
row_8	DHTKD1	1488	-0.02334761805832386	0.38186857	No	
row_9	DLD	1563	-0.047572605311870575	0.36467645	No	
row_10	LDHB	1829	-0.16907349228858948	0.30303034	No	
row_11	MPC2	2291	-0.40209275484085083	0.20247085	No	
row_12	PFKM	2560	-0.5613309741020203	0.16428249	No	
row_13	ECHS1	3081	-1.0293099880218506	0.086482614	No	
row_14	MPC1	3275	-1.2715526819229126	0.11265303	No	
