NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD44	14	3.0993425846099854	0.13957097	Yes	
row_1	ACTG1	25	2.7707223892211914	0.2650292	Yes	
row_2	ITGB1	66	1.971917748451233	0.34535274	Yes	
row_3	CTSH	69	1.9577059745788574	0.43537864	Yes	
row_4	ACTB	103	1.6737117767333984	0.5038144	Yes	
row_5	BCL10	137	1.459750771522522	0.56235147	Yes	
row_6	FLNA	201	1.1912585496902466	0.6002882	Yes	
row_7	RHOC	222	1.1160249710083008	0.6464673	Yes	
row_8	LMO4	318	0.8817428946495056	0.66136056	Yes	
row_9	ADAM17	491	0.6232852935791016	0.64330417	No	
row_10	ARHGAP12	1136	0.11681611835956573	0.473136	No	
row_11	FUZ	1436	-9.308569133281708E-4	0.39166325	No	
row_12	CSF1R	1556	-0.04453224316239357	0.36128074	No	
row_13	VEGFA	1687	-0.0995783656835556	0.33044598	No	
row_14	PRKX	1757	-0.13868077099323273	0.31805056	No	
row_15	ATP7A	1877	-0.18807365000247955	0.29430884	No	
row_16	MEF2C	2095	-0.2935090661048889	0.24872741	No	
row_17	ITGA5	2196	-0.3482346534729004	0.23757531	No	
row_18	CSNK2B	2519	-0.5372837781906128	0.1746459	No	
row_19	SETDB2	2642	-0.6276063919067383	0.17042081	No	
row_20	SRF	3074	-1.018877387046814	0.10005536	No	
row_21	SKI	3389	-1.4555281400680542	0.081788585	No	
