NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PGLYRP1	1	4.142078399658203	0.036312267	Yes	
row_1	C3AR1	2	4.131171703338623	0.07280868	Yes	
row_2	HK3	4	3.741610527038574	0.10558306	Yes	
row_3	CD44	14	3.0993425846099854	0.13043934	Yes	
row_4	PKM	18	2.845440149307251	0.15473558	Yes	
row_5	CYBB	19	2.8299474716186523	0.17973645	Yes	
row_6	ARSB	20	2.828608751296997	0.20472552	Yes	
row_7	ENPP4	27	2.610520124435425	0.22610486	Yes	
row_8	DEGS1	29	2.589975357055664	0.24870522	Yes	
row_9	DNAJC3	32	2.5171561241149902	0.27038178	Yes	
row_10	SLCO4C1	35	2.426466226577759	0.29125714	Yes	
row_11	S100A8	41	2.3549087047576904	0.3106588	Yes	
row_12	CLEC4D	45	2.24058198928833	0.32961148	Yes	
row_13	CKAP4	50	2.187124729156494	0.3478114	Yes	
row_14	CYB5R3	57	2.031280994415283	0.36407351	Yes	
row_15	ARG1	61	2.001471996307373	0.3809138	Yes	
row_16	CTSH	69	1.9577059745788574	0.39624542	Yes	
row_17	GPR84	74	1.9038103818893433	0.41194242	Yes	
row_18	NCKAP1L	88	1.7584068775177002	0.42383033	Yes	
row_19	CYSTM1	101	1.678382158279419	0.43529177	Yes	
row_20	CDA	114	1.6138092279434204	0.44618273	Yes	
row_21	CAPN1	128	1.5075925588607788	0.45585483	Yes	
row_22	GNS	130	1.5007274150848389	0.46883237	Yes	
row_23	LTF	131	1.4916801452636719	0.48201045	Yes	
row_24	FGR	142	1.445177435874939	0.49197268	Yes	
row_25	TSPAN14	151	1.413342833518982	0.50221467	Yes	
row_26	SERPINB1	152	1.4042836427688599	0.51462066	Yes	
row_27	PLAU	181	1.2527235746383667	0.5178336	Yes	
row_28	ALDH3B1	185	1.2468544244766235	0.52800727	Yes	
row_29	ANO6	212	1.1508233547210693	0.530881	Yes	
row_30	CRISP3	224	1.1114895343780518	0.53761476	Yes	
row_31	ARL8A	230	1.1000041961669922	0.54593015	Yes	
row_32	RAB27A	263	1.0055818557739258	0.5458377	Yes	
row_33	RAB5C	271	0.9945601224899292	0.5526605	Yes	
row_34	FCER1G	274	0.9905879497528076	0.56085074	Yes	
row_35	PSAP	292	0.9497646689414978	0.56447273	Yes	
row_36	PGAM1	376	0.787925124168396	0.5481517	Yes	
row_37	IMPDH1	399	0.7464534640312195	0.54857504	Yes	
row_38	NCSTN	406	0.7391089200973511	0.5534216	Yes	
row_39	GM2A	413	0.7300388813018799	0.558188	Yes	
row_40	AOC1	420	0.7250247001647949	0.56291014	Yes	
row_41	ARSA	440	0.6950736045837402	0.5637211	Yes	
row_42	DIAPH1	463	0.6587935090065002	0.56337005	Yes	
row_43	ATP8B4	485	0.6308544278144836	0.56305265	Yes	
row_44	CXCR1	495	0.620381772518158	0.5660088	Yes	
row_45	HSPA1B	506	0.6059266328811646	0.5685568	Yes	
row_46	TMEM30A	556	0.5490673780441284	0.5596627	No	
row_47	PDAP1	603	0.5024397969245911	0.55119824	No	
row_48	NHLRC3	616	0.4902770519256592	0.5521635	No	
row_49	RAB31	676	0.4362567365169525	0.53946775	No	
row_50	C6orf120	706	0.40815290808677673	0.53493893	No	
row_51	PLAUR	713	0.40193188190460205	0.5368067	No	
row_52	APAF1	717	0.39856475591659546	0.5394863	No	
row_53	FCGR2A	722	0.39281776547431946	0.54183453	No	
row_54	TOM1	764	0.3587493300437927	0.5335032	No	
row_55	SNAP23	770	0.35611358284950256	0.53524673	No	
row_56	NEU1	845	0.29834768176078796	0.51712507	No	
row_57	SERPINA1	854	0.2900440990924835	0.5174434	No	
row_58	SCAMP1	875	0.2781537175178528	0.51429063	No	
row_59	NFAM1	896	0.26550230383872986	0.5110261	No	
row_60	DOK3	898	0.2638009786605835	0.5130761	No	
row_61	ATP11A	903	0.2603011131286621	0.5142537	No	
row_62	RAB24	938	0.23477531969547272	0.50679064	No	
row_63	VAT1	950	0.22653897106647491	0.50570637	No	
row_64	CD53	957	0.22295449674129486	0.505993	No	
row_65	CREG1	977	0.20926761627197266	0.5025122	No	
row_66	SERPINB6	1012	0.18750520050525665	0.49463153	No	
row_67	VAPA	1038	0.17467105388641357	0.48916203	No	
row_68	DOCK2	1123	0.12152531743049622	0.4666732	No	
row_69	RNASE2	1149	0.11202637106180191	0.46065027	No	
row_70	STK11IP	1153	0.10987064987421036	0.4607794	No	
row_71	ARHGAP9	1171	0.10151203721761703	0.4569076	No	
row_72	PSMD1	1188	0.09768719971179962	0.45328254	No	
row_73	HSPA1A	1214	0.08606275916099548	0.44703022	No	
row_74	HLA-H	1232	0.071912981569767	0.44289696	No	
row_75	IGF2R	1267	0.058088451623916626	0.43387297	No	
row_76	CD14	1310	0.04232291504740715	0.42246565	No	
row_77	LAMP1	1343	0.02880125679075718	0.41374394	No	
row_78	PSMA5	1381	0.01437376905232668	0.40349224	No	
row_79	HLA-C	1444	-0.006061793304979801	0.3861545	No	
row_80	CRACR2A	1456	-0.012281041592359543	0.38317743	No	
row_81	AGL	1461	-0.012995842844247818	0.38217023	No	
row_82	HEXB	1505	-0.02737944945693016	0.3703504	No	
row_83	CD63	1515	-0.030767042189836502	0.36809766	No	
row_84	ARPC5	1546	-0.0403306782245636	0.36003882	No	
row_85	FCGR3B	1587	-0.056427132338285446	0.3493171	No	
row_86	TYROBP	1671	-0.092478446662426	0.3268522	No	
row_87	FAF2	1685	-0.0990140363574028	0.32408035	No	
row_88	SLC15A4	1728	-0.12132986634969711	0.31337103	No	
row_89	STK10	1815	-0.16441190242767334	0.29070008	No	
row_90	IQGAP2	1817	-0.16464930772781372	0.29187417	No	
row_91	ATP6AP2	1838	-0.17254741489887238	0.28778842	No	
row_92	ADAM8	1895	-0.19507184624671936	0.27380347	No	
row_93	COMMD3	1946	-0.2190706580877304	0.2617136	No	
row_94	TUBB	1980	-0.2352006882429123	0.25453478	No	
row_95	ACLY	2014	-0.25227728486061096	0.24750686	No	
row_96	PSMA2	2061	-0.2772692143917084	0.23705313	No	
row_97	TNFRSF1B	2064	-0.27824366092681885	0.23895024	No	
row_98	RAB18	2084	-0.2884572446346283	0.236169	No	
row_99	CLEC12A	2146	-0.318928062915802	0.22187573	No	
row_100	PSMD11	2155	-0.32223811745643616	0.22247846	No	
row_101	XRCC6	2212	-0.3578765094280243	0.20993182	No	
row_102	TMC6	2342	-0.4291950762271881	0.17753837	No	
row_103	HLA-B	2408	-0.4747183620929718	0.1634994	No	
row_104	FUCA2	2463	-0.5076014995574951	0.15283649	No	
row_105	CSNK2B	2519	-0.5372837781906128	0.1421553	No	
row_106	PA2G4	2528	-0.5420112013816833	0.1446996	No	
row_107	LPCAT1	2530	-0.542662501335144	0.1492132	No	
row_108	ROCK1	2569	-0.5658088326454163	0.14355259	No	
row_109	ALDOC	2661	-0.6395914554595947	0.123677045	No	
row_110	DDX3X	2688	-0.6579769253730774	0.12219675	No	
row_111	RNASET2	2715	-0.6821916699409485	0.12093037	No	
row_112	PSMD12	2730	-0.6927255392074585	0.12312312	No	
row_113	RAP1B	2910	-0.8307638764381409	0.080252044	No	
row_114	PECAM1	2931	-0.8542665243148804	0.082188874	No	
row_115	CDK13	2969	-0.8902462124824524	0.07967498	No	
row_116	CCT2	3095	-1.042866587638855	0.05382497	No	
row_117	HEBP2	3211	-1.1730852127075195	0.031930406	No	
row_118	HMGB1	3272	-1.2671371698379517	0.026294505	No	
row_119	KCMF1	3283	-1.2827023267745972	0.034821358	No	
row_120	PSMB1	3355	-1.4030801057815552	0.02730088	No	
row_121	HSP90AB1	3432	-1.5554367303848267	0.019723855	No	
row_122	HVCN1	3490	-1.702898383140564	0.018779159	No	
row_123	DYNC1H1	3559	-1.954472303390503	0.016971411	No	
row_124	GLIPR1	3605	-2.174842119216919	0.023562111	No	
