NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MAGOH	1192	0.09631811082363129	-0.32223603	No	
row_1	UPF1	1492	-0.0245644710958004	-0.4030509	No	
row_2	ETF1	1602	-0.0655992180109024	-0.43048465	No	
row_3	UPF3A	1762	-0.14016690850257874	-0.46891096	No	
row_4	PPP2CA	1878	-0.18962392210960388	-0.49354547	No	
row_5	RPL17	2352	-0.43622708320617676	-0.6071687	No	
row_6	EIF4A3	2395	-0.4666714668273926	-0.60194284	No	
row_7	RPS4X	2548	-0.5527383089065552	-0.62369144	No	
row_8	RPL10A	2672	-0.6467546224594116	-0.6341519	Yes	
row_9	RPL26L1	2684	-0.6563810110092163	-0.6136667	Yes	
row_10	RPL39	2708	-0.6741377711296082	-0.5958247	Yes	
row_11	RPS23	2713	-0.6790748834609985	-0.57261485	Yes	
row_12	RPS26	2855	-0.7785661816596985	-0.58327603	Yes	
row_13	RPS29	2870	-0.7912614941596985	-0.5587834	Yes	
row_14	RPL21	2906	-0.8238174915313721	-0.53886336	Yes	
row_15	RPS18	2985	-0.9080889225006104	-0.5276761	Yes	
row_16	RPS8	3047	-0.9778158068656921	-0.5093486	Yes	
row_17	RPL41	3065	-0.9980775713920593	-0.47827408	Yes	
row_18	RPL37	3118	-1.0696427822113037	-0.45420125	Yes	
row_19	RPL23	3176	-1.1274882555007935	-0.42942435	Yes	
row_20	RPL23A	3182	-1.1372077465057373	-0.390092	Yes	
row_21	RPS10	3231	-1.2193087339401245	-0.35956997	Yes	
row_22	UPF2	3383	-1.4391679763793945	-0.34932172	Yes	
row_23	RPL11	3384	-1.4403403997421265	-0.29777467	Yes	
row_24	RPL3	3451	-1.5993964672088623	-0.2585681	Yes	
row_25	RPS24	3491	-1.7079988718032837	-0.2080978	Yes	
row_26	RPL36AL	3497	-1.7280433177947998	-0.14762053	Yes	
row_27	RPL27	3514	-1.7737964391708374	-0.0885113	Yes	
row_28	RPS7	3523	-1.8074089288711548	-0.026013358	Yes	
row_29	RPS14	3571	-1.986561894416809	0.03224039	Yes	
