NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	UPF1	1492	-0.0245644710958004	-0.40613496	No	
row_1	ETF1	1602	-0.0655992180109024	-0.43331432	No	
row_2	RPL17	2352	-0.43622708320617676	-0.62064666	No	
row_3	RPS4X	2548	-0.5527383089065552	-0.65227	No	
row_4	RPL10A	2672	-0.6467546224594116	-0.660577	Yes	
row_5	RPL26L1	2684	-0.6563810110092163	-0.6379488	Yes	
row_6	RPL39	2708	-0.6741377711296082	-0.6179015	Yes	
row_7	RPS23	2713	-0.6790748834609985	-0.5924772	Yes	
row_8	RPS26	2855	-0.7785661816596985	-0.60054874	Yes	
row_9	RPS29	2870	-0.7912614941596985	-0.57347244	Yes	
row_10	RPL21	2906	-0.8238174915313721	-0.5508548	Yes	
row_11	RPS18	2985	-0.9080889225006104	-0.5366792	Yes	
row_12	RPS8	3047	-0.9778158068656921	-0.51514256	Yes	
row_13	RPL41	3065	-0.9980775713920593	-0.48080933	Yes	
row_14	RPL37	3118	-1.0696427822113037	-0.45323148	Yes	
row_15	RPL23	3176	-1.1274882555007935	-0.4247592	Yes	
row_16	RPL23A	3182	-1.1372077465057373	-0.38171914	Yes	
row_17	RPS10	3231	-1.2193087339401245	-0.34720594	Yes	
row_18	RPL11	3384	-1.4403403997421265	-0.33243865	Yes	
row_19	RPL3	3451	-1.5993964672088623	-0.28799555	Yes	
row_20	RPS24	3491	-1.7079988718032837	-0.23194486	Yes	
row_21	RPL36AL	3497	-1.7280433177947998	-0.16583458	Yes	
row_22	RPL27	3514	-1.7737964391708374	-0.10093914	Yes	
row_23	RPS7	3523	-1.8074089288711548	-0.03254843	Yes	
row_24	RPS14	3571	-1.986561894416809	0.032196425	Yes	
