NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL17	2352	-0.43622708320617676	-0.6243028	No	
row_1	RPS4X	2548	-0.5527383089065552	-0.65582085	No	
row_2	RPL10A	2672	-0.6467546224594116	-0.66402036	Yes	
row_3	RPL26L1	2684	-0.6563810110092163	-0.64129996	Yes	
row_4	RPL39	2708	-0.6741377711296082	-0.6211562	Yes	
row_5	RPS23	2713	-0.6790748834609985	-0.5956376	Yes	
row_6	RPS26	2855	-0.7785661816596985	-0.6035808	Yes	
row_7	RPS29	2870	-0.7912614941596985	-0.57639325	Yes	
row_8	RPL21	2906	-0.8238174915313721	-0.55365676	Yes	
row_9	RPS18	2985	-0.9080889225006104	-0.5393443	Yes	
row_10	RPS8	3047	-0.9778158068656921	-0.5176637	Yes	
row_11	RPL41	3065	-0.9980775713920593	-0.4831902	Yes	
row_12	RPL37	3118	-1.0696427822113037	-0.45545706	Yes	
row_13	RPL23	3176	-1.1274882555007935	-0.42682076	Yes	
row_14	RPL23A	3182	-1.1372077465057373	-0.3836231	Yes	
row_15	RPS10	3231	-1.2193087339401245	-0.3489345	Yes	
row_16	RPL11	3384	-1.4403403997421265	-0.3339459	Yes	
row_17	RPL3	3451	-1.5993964672088623	-0.28927234	Yes	
row_18	RPS24	3491	-1.7079988718032837	-0.23298022	Yes	
row_19	RPL36AL	3497	-1.7280433177947998	-0.1666308	Yes	
row_20	RPL27	3514	-1.7737964391708374	-0.10148829	Yes	
row_21	RPS7	3523	-1.8074089288711548	-0.03284705	Yes	
row_22	RPS14	3571	-1.986561894416809	0.032178853	Yes	
