NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HK3	4	3.741610527038574	0.15385549	Yes	
row_1	G6PD	8	3.300814390182495	0.28972945	Yes	
row_2	PGD	9	3.281245231628418	0.42561048	Yes	
row_3	PKM	18	2.845440149307251	0.54126436	Yes	
row_4	HK2	40	2.3679256439208984	0.6336014	Yes	
row_5	H6PD	108	1.6483052968978882	0.683604	Yes	
row_6	HK1	357	0.8152060508728027	0.6497879	Yes	
row_7	SLC25A11	365	0.8002752065658569	0.68102103	Yes	
row_8	PGAM1	376	0.787925124168396	0.71092534	Yes	
row_9	NNT	404	0.7406596541404724	0.7342402	Yes	
row_10	NAXD	418	0.7254431247711182	0.76073956	Yes	
row_11	NADK	446	0.6853172779083252	0.7817626	Yes	
row_12	NAMPT	1004	0.1926301121711731	0.63796854	No	
row_13	RPIA	1058	0.15888658165931702	0.63010687	No	
row_14	HAAO	1622	-0.07237526029348373	0.479698	No	
row_15	FOXK2	1718	-0.11677722632884979	0.45864835	No	
row_16	RBKS	2102	-0.2979223430156708	0.36662608	No	
row_17	SLC25A13	2229	-0.3682449758052826	0.3475432	No	
row_18	PFKM	2560	-0.5613309741020203	0.28087044	No	
row_19	ALDOC	2661	-0.6395914554595947	0.28010887	No	
