NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACTG1	25	2.7707223892211914	0.10503121	Yes	
row_1	ENPP4	27	2.610520124435425	0.21015199	Yes	
row_2	USF1	75	1.9029195308685303	0.27413663	Yes	
row_3	F12	83	1.8204222917556763	0.3457196	Yes	
row_4	ACTB	103	1.6737117767333984	0.40810078	Yes	
row_5	PLAU	181	1.2527235746383667	0.43763846	Yes	
row_6	FLNA	201	1.1912585496902466	0.48054165	Yes	
row_7	ANO6	212	1.1508233547210693	0.52427137	Yes	
row_8	PIK3CG	298	0.9361062049865723	0.53884053	Yes	
row_9	GP1BA	313	0.8912011384963989	0.5709957	Yes	
row_10	CSRP1	323	0.8784646391868591	0.6040028	Yes	
row_11	NFE2	347	0.8391714096069336	0.6315983	Yes	
row_12	EMILIN2	415	0.7283692955970764	0.6426986	Yes	
row_13	F2RL1	492	0.622601330280304	0.64706975	Yes	
row_14	ZBTB7B	528	0.5784708857536316	0.6608614	Yes	
row_15	F13A1	578	0.5261513590812683	0.6687156	Yes	
row_16	MYH9	579	0.5257613658905029	0.68994206	Yes	
row_17	F2RL2	640	0.4701698422431946	0.6925307	Yes	
row_18	PLAUR	713	0.40193188190460205	0.68908566	No	
row_19	ENTPD1	859	0.2889394760131836	0.66113347	No	
row_20	MYL12A	1081	0.14394205808639526	0.6065623	No	
row_21	INPP5K	1229	0.07359319180250168	0.5693695	No	
row_22	F8	1342	0.028930673375725746	0.5399364	No	
row_23	PAFAH2	1437	-0.00263610715046525	0.51435983	No	
row_24	ALOX12	1574	-0.0524693988263607	0.47931966	No	
row_25	CLIC1	1677	-0.09602530300617218	0.45532763	No	
row_26	VEGFA	1687	-0.0995783656835556	0.45688885	No	
row_27	RASA3	1773	-0.14763936400413513	0.43962544	No	
row_28	NR1H3	2265	-0.3870846927165985	0.32110012	No	
row_29	JMJD1C	3477	-1.6768132448196411	0.057923425	No	
