NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PSMD1	1188	0.09768719971179962	-0.3230926	No	
row_1	MAGOH	1192	0.09631811082363129	-0.32120994	No	
row_2	PSMA5	1381	0.01437376905232668	-0.37236956	No	
row_3	CUL2	1596	-0.06140866130590439	-0.4293391	No	
row_4	ETF1	1602	-0.0655992180109024	-0.42886785	No	
row_5	PSMB4	1682	-0.0978652611374855	-0.44778648	No	
row_6	UPF3A	1762	-0.14016690850257874	-0.4655169	No	
row_7	PSMB3	1926	-0.2085583209991455	-0.5043652	No	
row_8	PSMA4	1937	-0.2128455936908722	-0.5011293	No	
row_9	LDB1	2055	-0.27257511019706726	-0.5255629	No	
row_10	PSMA2	2061	-0.2772692143917084	-0.519146	No	
row_11	PSMD11	2155	-0.32223811745643616	-0.53560203	No	
row_12	PSMC4	2311	-0.41612184047698975	-0.5664259	No	
row_13	RPL17	2352	-0.43622708320617676	-0.56514364	No	
row_14	EIF4A3	2395	-0.4666714668273926	-0.56355476	No	
row_15	RPS4X	2548	-0.5527383089065552	-0.58971834	No	
row_16	ZSWIM8	2611	-0.5987644791603088	-0.58990455	Yes	
row_17	RPL10A	2672	-0.6467546224594116	-0.5881942	Yes	
row_18	UBC	2675	-0.649868905544281	-0.5704885	Yes	
row_19	RPL26L1	2684	-0.6563810110092163	-0.5542456	Yes	
row_20	RPL39	2708	-0.6741377711296082	-0.54161793	Yes	
row_21	RPS23	2713	-0.6790748834609985	-0.52364045	Yes	
row_22	PSMD12	2730	-0.6927255392074585	-0.5085708	Yes	
row_23	RPS26	2855	-0.7785661816596985	-0.5207115	Yes	
row_24	RPS29	2870	-0.7912614941596985	-0.5023255	Yes	
row_25	RPL21	2906	-0.8238174915313721	-0.48878476	Yes	
row_26	RPS18	2985	-0.9080889225006104	-0.4846707	Yes	
row_27	RPS8	3047	-0.9778158068656921	-0.47393543	Yes	
row_28	RPL41	3065	-0.9980775713920593	-0.45056298	Yes	
row_29	RBX1	3071	-1.0100584030151367	-0.42356274	Yes	
row_30	RPL37	3118	-1.0696427822113037	-0.40613404	Yes	
row_31	RPL23	3176	-1.1274882555007935	-0.3900975	Yes	
row_32	RPL23A	3182	-1.1372077465057373	-0.35952574	Yes	
row_33	RPS10	3231	-1.2193087339401245	-0.33844158	Yes	
row_34	PSMB1	3355	-1.4030801057815552	-0.33276597	Yes	
row_35	UPF2	3383	-1.4391679763793945	-0.29974642	Yes	
row_36	RPL11	3384	-1.4403403997421265	-0.2592886	Yes	
row_37	HOXA2	3427	-1.537523627281189	-0.22762045	Yes	
row_38	RPL3	3451	-1.5993964672088623	-0.18900315	Yes	
row_39	RPS24	3491	-1.7079988718032837	-0.1517237	Yes	
row_40	RPL36AL	3497	-1.7280433177947998	-0.10455592	Yes	
row_41	RPL27	3514	-1.7737964391708374	-0.05911998	Yes	
row_42	RPS7	3523	-1.8074089288711548	-0.010545714	Yes	
row_43	RPS14	3571	-1.986561894416809	0.03236414	Yes	
