NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACTG1	25	2.7707223892211914	0.11950335	Yes	
row_1	ENPP4	27	2.610520124435425	0.23823935	Yes	
row_2	ITGB1	66	1.971917748451233	0.3177865	Yes	
row_3	USF1	75	1.9029195308685303	0.4023581	Yes	
row_4	F12	83	1.8204222917556763	0.48344117	Yes	
row_5	PTEN	120	1.5716238021850586	0.5452844	Yes	
row_6	TNFAIP3	162	1.3743044137954712	0.5967706	Yes	
row_7	PLAU	181	1.2527235746383667	0.64897776	Yes	
row_8	ANO6	212	1.1508233547210693	0.6932715	Yes	
row_9	GP1BA	313	0.8912011384963989	0.70666647	Yes	
row_10	SLC12A2	390	0.7646795511245728	0.7208295	Yes	
row_11	EMILIN2	415	0.7283692955970764	0.74749845	Yes	
row_12	F2RL1	492	0.622601330280304	0.7551844	Yes	
row_13	RREB1	590	0.517272412776947	0.7523497	No	
row_14	PLAUR	713	0.40193188190460205	0.7374486	No	
row_15	CLEC7A	761	0.3602556586265564	0.7410723	No	
row_16	ALOX12	1574	-0.0524693988263607	0.5223314	No	
row_17	TNF	3204	-1.1708482503890991	0.13208055	No	
