NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CSNK1E	464	0.6585826277732849	-0.11319661	No	
row_1	RIOK3	522	0.5841410756111145	-0.11619368	No	
row_2	UTP14C	1005	0.19103936851024628	-0.24447016	No	
row_3	NOL12	1224	0.07900335639715195	-0.30264774	No	
row_4	FTSJ3	1332	0.033904533833265305	-0.3313084	No	
row_5	CSNK1D	1383	0.013837253674864769	-0.3447447	No	
row_6	WDR46	1559	-0.046392034739255905	-0.39181602	No	
row_7	DIMT1	1612	-0.06879782676696777	-0.40461043	No	
row_8	DIS3	1700	-0.10692449659109116	-0.42619374	No	
row_9	EMG1	1761	-0.14010940492153168	-0.43964016	No	
row_10	RRP7A	1824	-0.16655634343624115	-0.4530627	No	
row_11	WDR3	1925	-0.2080560326576233	-0.47602528	No	
row_12	DDX21	2263	-0.38580137491226196	-0.5602448	No	
row_13	RIOK2	2328	-0.42280280590057373	-0.5686622	No	
row_14	RPL17	2352	-0.43622708320617676	-0.56552494	No	
row_15	NHP2	2453	-0.5041399598121643	-0.58206934	No	
row_16	NOL11	2502	-0.528017520904541	-0.58381045	No	
row_17	RPS4X	2548	-0.5527383089065552	-0.58419156	Yes	
row_18	ISG20L2	2566	-0.564748227596283	-0.57662	Yes	
row_19	RBM28	2579	-0.5710499286651611	-0.5675382	Yes	
row_20	RPL10A	2672	-0.6467546224594116	-0.5787934	Yes	
row_21	RPL26L1	2684	-0.6563810110092163	-0.56758714	Yes	
row_22	EXOSC1	2689	-0.6594047546386719	-0.55439234	Yes	
row_23	RPL39	2708	-0.6741377711296082	-0.5447243	Yes	
row_24	RPP30	2712	-0.6787775754928589	-0.5308348	Yes	
row_25	RPS23	2713	-0.6790748834609985	-0.51611465	Yes	
row_26	RPS26	2855	-0.7785661816596985	-0.5379741	Yes	
row_27	RPS29	2870	-0.7912614941596985	-0.52466834	Yes	
row_28	RPL21	2906	-0.8238174915313721	-0.516426	Yes	
row_29	RPS18	2985	-0.9080889225006104	-0.51817024	Yes	
row_30	EXOSC8	3033	-0.9633143544197083	-0.5102008	Yes	
row_31	RPS8	3047	-0.9778158068656921	-0.49257636	Yes	
row_32	RPL41	3065	-0.9980775713920593	-0.47561163	Yes	
row_33	RPL37	3118	-1.0696427822113037	-0.46671098	Yes	
row_34	RIOK1	3142	-1.0930505990982056	-0.4493359	Yes	
row_35	RPL23	3176	-1.1274882555007935	-0.43396157	Yes	
row_36	RPL23A	3182	-1.1372077465057373	-0.41068426	Yes	
row_37	RPS10	3231	-1.2193087339401245	-0.39744043	Yes	
row_38	RRP36	3340	-1.375316858291626	-0.3972984	Yes	
row_39	RPL11	3384	-1.4403403997421265	-0.3778897	Yes	
row_40	RPP38	3450	-1.5924981832504272	-0.36122668	Yes	
row_41	RPL3	3451	-1.5993964672088623	-0.32655698	Yes	
row_42	RPS24	3491	-1.7079988718032837	-0.30024743	Yes	
row_43	RPL36AL	3497	-1.7280433177947998	-0.26416275	Yes	
row_44	RPL27	3514	-1.7737964391708374	-0.23010823	Yes	
row_45	DDX52	3519	-1.790015697479248	-0.19240543	Yes	
row_46	RPS7	3523	-1.8074089288711548	-0.15405089	Yes	
row_47	RPS14	3571	-1.986561894416809	-0.1239008	Yes	
row_48	RPP21	3685	-3.457024335861206	-0.08000777	Yes	
row_49	UTP6	3687	-3.7289724349975586	5.4945255E-4	Yes	
