NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CSNK1E	464	0.6585826277732849	-0.11346912	No	
row_1	RIOK3	522	0.5841410756111145	-0.11668112	No	
row_2	UTP14C	1005	0.19103936851024628	-0.24506287	No	
row_3	NOL12	1224	0.07900335639715195	-0.3032854	No	
row_4	FTSJ3	1332	0.033904533833265305	-0.33196637	No	
row_5	CSNK1D	1383	0.013837253674864769	-0.34541145	No	
row_6	WDR46	1559	-0.046392034739255905	-0.39251268	No	
row_7	DIMT1	1612	-0.06879782676696777	-0.4053358	No	
row_8	DIS3	1700	-0.10692449659109116	-0.42696428	No	
row_9	EMG1	1761	-0.14010940492153168	-0.44046572	No	
row_10	RRP7A	1824	-0.16655634343624115	-0.45395303	No	
row_11	WDR3	1925	-0.2080560326576233	-0.47699815	No	
row_12	DDX21	2263	-0.38580137491226196	-0.56138223	No	
row_13	RIOK2	2328	-0.42280280590057373	-0.56995696	No	
row_14	RPL17	2352	-0.43622708320617676	-0.5669787	No	
row_15	NHP2	2453	-0.5041399598121643	-0.58371246	No	
row_16	NOL11	2502	-0.528017520904541	-0.5856476	No	
row_17	RPS4X	2548	-0.5527383089065552	-0.58623135	Yes	
row_18	ISG20L2	2566	-0.564748227596283	-0.5788647	Yes	
row_19	RBM28	2579	-0.5710499286651611	-0.56998974	Yes	
row_20	RPL10A	2672	-0.6467546224594116	-0.5814851	Yes	
row_21	RPL26L1	2684	-0.6563810110092163	-0.57051635	Yes	
row_22	EXOSC1	2689	-0.6594047546386719	-0.5575596	Yes	
row_23	RPL39	2708	-0.6741377711296082	-0.548136	Yes	
row_24	RPP30	2712	-0.6787775754928589	-0.5344915	Yes	
row_25	RPS23	2713	-0.6790748834609985	-0.5200162	Yes	
row_26	RPS26	2855	-0.7785661816596985	-0.54216707	Yes	
row_27	TFB1M	2857	-0.7803734540939331	-0.5258073	Yes	
row_28	RPS29	2870	-0.7912614941596985	-0.51223826	Yes	
row_29	RPL21	2906	-0.8238174915313721	-0.5042957	Yes	
row_30	RPS18	2985	-0.9080889225006104	-0.5063732	Yes	
row_31	EXOSC8	3033	-0.9633143544197083	-0.49875468	Yes	
row_32	RPS8	3047	-0.9778158068656921	-0.48148382	Yes	
row_33	RPL41	3065	-0.9980775713920593	-0.46488026	Yes	
row_34	RPL37	3118	-1.0696427822113037	-0.45636925	Yes	
row_35	RIOK1	3142	-1.0930505990982056	-0.43939003	Yes	
row_36	RPL23	3176	-1.1274882555007935	-0.42442474	Yes	
row_37	RPL23A	3182	-1.1372077465057373	-0.40155786	Yes	
row_38	RPS10	3231	-1.2193087339401245	-0.38875732	Yes	
row_39	RRP36	3340	-1.375316858291626	-0.38911936	Yes	
row_40	RPL11	3384	-1.4403403997421265	-0.37023327	Yes	
row_41	RPP38	3450	-1.5924981832504272	-0.35414937	Yes	
row_42	RPL3	3451	-1.5993964672088623	-0.3200564	Yes	
row_43	RPS24	3491	-1.7079988718032837	-0.29436567	Yes	
row_44	RPL36AL	3497	-1.7280433177947998	-0.25890446	Yes	
row_45	RPL27	3514	-1.7737964391708374	-0.22549075	Yes	
row_46	DDX52	3519	-1.790015697479248	-0.1884337	Yes	
row_47	RPS7	3523	-1.8074089288711548	-0.1507311	Yes	
row_48	RPS14	3571	-1.986561894416809	-0.12130089	Yes	
row_49	RPP21	3685	-3.457024335861206	-0.07866293	Yes	
row_50	UTP6	3687	-3.7289724349975586	5.49608E-4	Yes	
