NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PAPSS2	607	0.5004240870475769	-0.14817953	No	
row_1	TXNRD1	1219	0.08200327306985855	-0.31214795	No	
row_2	PSTK	2117	-0.30428022146224976	-0.54640853	No	
row_3	RPL17	2352	-0.43622708320617676	-0.594986	No	
row_4	RPS4X	2548	-0.5527383089065552	-0.62882125	No	
row_5	RPL10A	2672	-0.6467546224594116	-0.63969284	Yes	
row_6	RPL26L1	2684	-0.6563810110092163	-0.61964196	Yes	
row_7	RPL39	2708	-0.6741377711296082	-0.60224426	Yes	
row_8	RPS23	2713	-0.6790748834609985	-0.57948476	Yes	
row_9	RPS26	2855	-0.7785661816596985	-0.590642	Yes	
row_10	RPS29	2870	-0.7912614941596985	-0.5666728	Yes	
row_11	AIMP2	2905	-0.8236404061317444	-0.54702777	Yes	
row_12	RPL21	2906	-0.8238174915313721	-0.51809204	Yes	
row_13	RPS18	2985	-0.9080889225006104	-0.5074962	Yes	
row_14	RPS8	3047	-0.9778158068656921	-0.48980898	Yes	
row_15	RPL41	3065	-0.9980775713920593	-0.4593948	Yes	
row_16	RPL37	3118	-1.0696427822113037	-0.43602458	Yes	
row_17	RPL23	3176	-1.1274882555007935	-0.411988	Yes	
row_18	RPL23A	3182	-1.1372077465057373	-0.3734101	Yes	
row_19	RPS10	3231	-1.2193087339401245	-0.34369072	Yes	
row_20	GNMT	3248	-1.2400991916656494	-0.30450273	Yes	
row_21	RPL11	3384	-1.4403403997421265	-0.29077733	Yes	
row_22	RPL3	3451	-1.5993964672088623	-0.2526231	Yes	
row_23	RPS24	3491	-1.7079988718032837	-0.20328133	Yes	
row_24	RPL36AL	3497	-1.7280433177947998	-0.14395095	Yes	
row_25	RPL27	3514	-1.7737964391708374	-0.08601737	Yes	
row_26	RPS7	3523	-1.8074089288711548	-0.024718586	Yes	
row_27	RPS14	3571	-1.986561894416809	0.032222845	Yes	
