NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ARSB	20	2.828608751296997	0.16635326	Yes	
row_1	DEGS1	29	2.589975357055664	0.32148376	Yes	
row_2	GALC	90	1.7476928234100342	0.41127855	Yes	
row_3	ALDH3B1	185	1.2468544244766235	0.46138373	Yes	
row_4	SGMS1	268	1.0005265474319458	0.49979883	Yes	
row_5	PSAP	292	0.9497646689414978	0.55121577	Yes	
row_6	B3GALT4	332	0.8603464365005493	0.59283954	Yes	
row_7	GM2A	413	0.7300388813018799	0.61537087	Yes	
row_8	ARSA	440	0.6950736045837402	0.65050036	Yes	
row_9	SGPL1	693	0.41930603981018066	0.6072661	No	
row_10	PLPP3	746	0.37128451466560364	0.61564076	No	
row_11	CERS2	828	0.31140536069869995	0.61247224	No	
row_12	NEU1	845	0.29834768176078796	0.62623143	No	
row_13	VAPA	1038	0.17467105388641357	0.5844961	No	
row_14	SPTSSA	1233	0.07166953384876251	0.53595936	No	
row_15	SAMD8	1257	0.061690960079431534	0.53343594	No	
row_16	CERS5	1484	-0.02247212640941143	0.4731869	No	
row_17	HEXB	1505	-0.02737944945693016	0.46939734	No	
row_18	ARSG	1680	-0.09637528657913208	0.42781374	No	
row_19	KDSR	1983	-0.2373695820569992	0.35989755	No	
row_20	ORMDL2	2498	-0.5260027647018433	0.2517154	No	
row_21	CERK	3220	-1.1971313953399658	0.12786262	No	
