NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EIF4H	194	1.2151143550872803	-0.034921106	No	
row_1	CARS2	242	1.0635038614273071	-0.031582683	No	
row_2	SSR1	779	0.34895822405815125	-0.17421402	No	
row_3	TARS2	888	0.2704993188381195	-0.19988221	No	
row_4	MTFMT	998	0.19816738367080688	-0.22693609	No	
row_5	MRPS33	1006	0.18964232504367828	-0.22595951	No	
row_6	MRPS23	1287	0.04944411292672157	-0.3025064	No	
row_7	MRPS31	1296	0.046823859214782715	-0.3039968	No	
row_8	MTIF3	1350	0.024989845231175423	-0.31824625	No	
row_9	ERAL1	1370	0.017406079918146133	-0.32322493	No	
row_10	ETF1	1602	-0.0655992180109024	-0.38599554	No	
row_11	MRPS10	1651	-0.08446933329105377	-0.39795208	No	
row_12	MRPL24	1697	-0.10508286952972412	-0.40876412	No	
row_13	MRPS30	1884	-0.19232924282550812	-0.45716655	No	
row_14	MRPL2	1924	-0.20798338949680328	-0.4647435	No	
row_15	PPA1	1963	-0.2277538776397705	-0.47174108	No	
row_16	HARS2	2108	-0.30021998286247253	-0.5068926	No	
row_17	SRP9	2118	-0.3043350577354431	-0.50470877	No	
row_18	MRPS18A	2232	-0.3688795268535614	-0.5302482	No	
row_19	TSFM	2251	-0.3784635365009308	-0.52941203	No	
row_20	OXA1L	2266	-0.3873002827167511	-0.5273359	No	
row_21	RPL17	2352	-0.43622708320617676	-0.54411167	No	
row_22	MRPL52	2380	-0.4568146765232086	-0.54455835	No	
row_23	RPS4X	2548	-0.5527383089065552	-0.58218616	No	
row_24	SRP19	2564	-0.5639755129814148	-0.5776759	No	
row_25	EIF3D	2644	-0.6285048723220825	-0.5898454	Yes	
row_26	RPL10A	2672	-0.6467546224594116	-0.5873783	Yes	
row_27	RPL26L1	2684	-0.6563810110092163	-0.5803461	Yes	
row_28	RPL39	2708	-0.6741377711296082	-0.5763546	Yes	
row_29	RPS23	2713	-0.6790748834609985	-0.56704164	Yes	
row_30	MRPL40	2796	-0.7415748834609985	-0.57830495	Yes	
row_31	RPS26	2855	-0.7785661816596985	-0.5823746	Yes	
row_32	RPS29	2870	-0.7912614941596985	-0.5741015	Yes	
row_33	MRPL22	2899	-0.8159507513046265	-0.56931496	Yes	
row_34	AIMP2	2905	-0.8236404061317444	-0.55806035	Yes	
row_35	RPL21	2906	-0.8238174915313721	-0.54542255	Yes	
row_36	RPS18	2985	-0.9080889225006104	-0.5530271	Yes	
row_37	EIF3B	3035	-0.9649914503097534	-0.5517521	Yes	
row_38	RPS8	3047	-0.9778158068656921	-0.5397889	Yes	
row_39	RPL41	3065	-0.9980775713920593	-0.5291714	Yes	
row_40	GFM2	3094	-1.04063880443573	-0.52093804	Yes	
row_41	RPL37	3118	-1.0696427822113037	-0.5108793	Yes	
row_42	MRPS7	3154	-1.1068094968795776	-0.5035634	Yes	
row_43	RPL23	3176	-1.1274882555007935	-0.4920651	Yes	
row_44	RPL23A	3182	-1.1372077465057373	-0.47600022	Yes	
row_45	EIF1AX	3187	-1.1476094722747803	-0.4594997	Yes	
row_46	CHCHD1	3202	-1.1685658693313599	-0.44543856	Yes	
row_47	RPS10	3231	-1.2193087339401245	-0.4344643	Yes	
row_48	MRPS16	3271	-1.2661716938018799	-0.4258081	Yes	
row_49	EIF3A	3278	-1.2735446691513062	-0.40792784	Yes	
row_50	EIF3J	3309	-1.325506329536438	-0.39587665	Yes	
row_51	EIF5B	3335	-1.3695499897003174	-0.38176933	Yes	
row_52	MRPL14	3360	-1.4163120985031128	-0.36666855	Yes	
row_53	RPL11	3384	-1.4403403997421265	-0.3509231	Yes	
row_54	MRPL36	3436	-1.5621060132980347	-0.34104022	Yes	
row_55	RPL3	3451	-1.5993964672088623	-0.32036996	Yes	
row_56	RPS24	3491	-1.7079988718032837	-0.30493593	Yes	
row_57	RPL36AL	3497	-1.7280433177947998	-0.27980733	Yes	
row_58	RPL27	3514	-1.7737964391708374	-0.25701386	Yes	
row_59	RPS7	3523	-1.8074089288711548	-0.23149604	Yes	
row_60	SSR4	3528	-1.8325780630111694	-0.20448774	Yes	
row_61	MRPL32	3567	-1.9774070978164673	-0.18464477	Yes	
row_62	RPS14	3571	-1.986561894416809	-0.15499818	Yes	
row_63	MRPL57	3589	-2.1048941612243652	-0.1274016	Yes	
row_64	MRPL27	3617	-2.2364275455474854	-0.10054813	Yes	
row_65	MRPL42	3649	-2.4946062564849854	-0.07083843	Yes	
row_66	MRPS18B	3655	-2.593221664428711	-0.03243757	Yes	
row_67	SEC11C	3663	-2.7084290981292725	0.00717845	Yes	
