NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
TRANSLATION%REACTOME%R-HSA-72766.6	TRANSLATION%REACTOME%R-HSA-72766.6	Details ...	68	-0.599487	-2.0115592	0.0	0.011216056	0.017	1047	tags=63%, list=28%, signal=87%	
FORMATION OF A POOL OF FREE 40S SUBUNITS%REACTOME%R-HSA-72689.3	FORMATION OF A POOL OF FREE 40S SUBUNITS%REACTOME%R-HSA-72689.3	Details ...	28	-0.6894171	-1.9449806	0.0	0.019832337	0.058	1047	tags=93%, list=28%, signal=129%	
MAJOR PATHWAY OF RRNA PROCESSING IN THE NUCLEOLUS AND CYTOSOL%REACTOME%R-HSA-6791226.5	MAJOR PATHWAY OF RRNA PROCESSING IN THE NUCLEOLUS AND CYTOSOL%REACTOME%R-HSA-6791226.5	Details ...	48	-0.60766906	-1.9343345	0.0	0.016304804	0.072	1143	tags=69%, list=31%, signal=98%	
NONSENSE MEDIATED DECAY (NMD) INDEPENDENT OF THE EXON JUNCTION COMPLEX (EJC)%REACTOME%R-HSA-975956.2	NONSENSE MEDIATED DECAY (NMD) INDEPENDENT OF THE EXON JUNCTION COMPLEX (EJC)%REACTOME%R-HSA-975956.2	Details ...	25	-0.6858307	-1.9158075	0.0	0.016178738	0.093	1019	tags=84%, list=28%, signal=115%	
EUKARYOTIC TRANSLATION INITIATION%REACTOME%R-HSA-72613.5	EUKARYOTIC TRANSLATION INITIATION%REACTOME%R-HSA-72613.5	Details ...	30	-0.65568304	-1.906068	0.0013513514	0.016638763	0.118	1047	tags=90%, list=28%, signal=125%	
RRNA PROCESSING IN THE NUCLEUS AND CYTOSOL%REACTOME%R-HSA-8868773.5	RRNA PROCESSING IN THE NUCLEUS AND CYTOSOL%REACTOME%R-HSA-8868773.5	Details ...	50	-0.5961731	-1.8987544	0.0	0.015845034	0.134	1143	tags=66%, list=31%, signal=94%	
REGULATION OF EXPRESSION OF SLITS AND ROBOS%REACTOME%R-HSA-9010553.2	REGULATION OF EXPRESSION OF SLITS AND ROBOS%REACTOME%R-HSA-9010553.2	Details ...	44	-0.6067233	-1.897918	0.0	0.01395611	0.135	1080	tags=64%, list=29%, signal=89%	
NONSENSE MEDIATED DECAY (NMD) ENHANCED BY THE EXON JUNCTION COMPLEX (EJC)%REACTOME%R-HSA-975957.3	NONSENSE MEDIATED DECAY (NMD) ENHANCED BY THE EXON JUNCTION COMPLEX (EJC)%REACTOME%R-HSA-975957.3	Details ...	30	-0.65729797	-1.8964239	0.0	0.01246243	0.138	1019	tags=73%, list=28%, signal=100%	
MITOCHONDRIAL TRANSLATION INITIATION%REACTOME%R-HSA-5368286.3	MITOCHONDRIAL TRANSLATION INITIATION%REACTOME%R-HSA-5368286.3	Details ...	25	-0.67829335	-1.8963294	0.0	0.011077715	0.138	537	tags=40%, list=15%, signal=46%	
EUKARYOTIC TRANSLATION TERMINATION%REACTOME DATABASE ID RELEASE 91%72764	EUKARYOTIC TRANSLATION TERMINATION%REACTOME DATABASE ID RELEASE 91%72764	Details ...	24	-0.68682456	-1.8949823	0.0	0.010166569	0.141	1019	tags=88%, list=28%, signal=120%	
CAP-DEPENDENT TRANSLATION INITIATION%REACTOME%R-HSA-72737.4	CAP-DEPENDENT TRANSLATION INITIATION%REACTOME%R-HSA-72737.4	Details ...	30	-0.65568304	-1.8938503	0.0	0.009421283	0.143	1047	tags=90%, list=28%, signal=125%	
NONSENSE-MEDIATED DECAY (NMD)%REACTOME%R-HSA-927802.4	NONSENSE-MEDIATED DECAY (NMD)%REACTOME%R-HSA-927802.4	Details ...	30	-0.65729797	-1.887922	0.0	0.009680584	0.159	1019	tags=73%, list=28%, signal=100%	
EUKARYOTIC TRANSLATION ELONGATION%REACTOME%R-HSA-156842.4	EUKARYOTIC TRANSLATION ELONGATION%REACTOME%R-HSA-156842.4	Details ...	23	-0.6893633	-1.8824853	0.0	0.010453788	0.182	1019	tags=91%, list=28%, signal=125%	
RRNA PROCESSING%REACTOME DATABASE ID RELEASE 91%72312	RRNA PROCESSING%REACTOME DATABASE ID RELEASE 91%72312	Details ...	51	-0.5980136	-1.8821368	0.0	0.009707089	0.182	1143	tags=67%, list=31%, signal=95%	
